timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784136521993,42,API - GET Courses,200,OK,Load - 10 users 1-10,text,true,,6738,366,2,2,http://localhost:5050/api/v1/courses?page=1&limit=20,42,0,0
1784136522149,4,Web - GET JS bundle,200,OK,Load - 10 users 1-9,text,true,,177350,141,2,2,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136522538,3,Web - GET index.html,200,OK,Load - 10 users 1-10,text,true,,791,117,2,2,http://localhost:4173/,3,0,0
1784136522654,2,Web - GET CSS bundle,200,OK,Load - 10 users 1-9,text,true,,5891,142,2,2,http://localhost:4173/assets/index-DgVZD9jl.css,2,0,0
1784136523047,3,Web - GET JS bundle,200,OK,Load - 10 users 1-10,text,true,,177350,141,1,1,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136523554,2,Web - GET CSS bundle,200,OK,Load - 10 users 1-10,text,true,,5891,142,1,1,http://localhost:4173/assets/index-DgVZD9jl.css,2,0,0
1784136524059,36,API - GET Courses,200,OK,Load - 10 users 1-10,text,true,,6738,366,1,1,http://localhost:5050/api/v1/courses?page=1&limit=20,36,0,0
1784136524598,3,Web - GET index.html,200,OK,Load - 10 users 1-10,text,true,,791,117,1,1,http://localhost:4173/,3,0,0
1784136525106,4,Web - GET JS bundle,200,OK,Load - 10 users 1-10,text,true,,177350,141,1,1,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136525615,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-10,text,true,,5891,142,1,1,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
